asn,org_name,country,aut_name,rank,cone_asns,cone_prefixes,degree_provider,degree_peer,degree_customer,degree_transit,clique_member,topology_degree,topology_classification,betweenness_centrality,closeness_centrality
7552,Viettel Group,VN,VIETEL-AS-AP,198.0,267.0,13025.0,6.0,247.0,112.0,359.0,True,108,Transit,0.136546,0.522983
7602,Sai gon Postel Corporation,VN,SPT-AS-VN,13090.0,1.0,95.0,9.0,0.0,0.0,0.0,True,10,Transit,0.005139,0.364413
7643,Vietnam Posts and Telecommunications (VNPT),VN,VNPT-AS-VN,15486.0,1.0,88.0,2.0,0.0,0.0,0.0,True,2,Multi-homed,0.0,0.35189
18403,FPT Telecom Company,VN,FPT-AS-AP,189.0,281.0,11252.0,13.0,167.0,237.0,383.0,True,247,Transit,0.564685,0.628221
23707,Internet Systems Consortium,US,ISC-HAN1,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
23899,Vietnam Internet network information center (VNNIC),VN,VNIX-AS-VN,4228.0,5.0,113.0,1.0,2.0,4.0,7.0,True,0,Stub,0.0,0.0
23902,Vietnam Internet network information center (VNNIC),VN,VNNIC-AS-VN,10577.0,2.0,3.0,2.0,0.0,1.0,2.0,True,3,Transit,0.001861,0.363378
23914,,VN,AS23914,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
23962,Vietnam Internet network information center (VNNIC),VN,VNIX-AS-VN,4449.0,5.0,34.0,2.0,4.0,2.0,7.0,True,0,Stub,0.0,0.0
23999,Vietnam News Agency,VN,VNA-AS-VN,45422.0,1.0,2.0,2.0,0.0,0.0,0.0,True,2,Multi-homed,0.0,0.415247
24035,Ministry of Foreign Affairs of Vietnam - MOFA,VN,MOFA-AS-VN,67211.0,1.0,1.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.343624
24050,Internet Systems Consortium,US,ISC-SGN1,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
24066,Vietnam Internet network information center (VNNIC),VN,VNNIC-AS-VN,7078.0,3.0,5.0,2.0,0.0,2.0,3.0,True,3,Transit,0.001861,0.363378
24085,Quang Trung Software City Development Company,VN,QTSC-AS-VN,14908.0,1.0,106.0,4.0,0.0,0.0,0.0,True,4,Transit,0.0,0.422442
24086,Viettel Corporation,VN,VIETTEL-AS-VN,12500.0,1.0,300.0,1.0,1.0,0.0,2.0,True,2,Multi-homed,0.0,0.362606
24087,VIETBRANDS COMPANY LIMITED,VN,VIETBRANDS-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
24088,Hanoi Telecom Joint Stock Company - HCMC Branch,VN,HTCHCMC-AS-VN,1021.0,35.0,547.0,9.0,12.0,25.0,42.0,True,31,Transit,0.030544,0.439485
24089,Vietnam Internet Network Information Center,VN,VNNIC-AS-AP,36223.0,1.0,1.0,2.0,0.0,0.0,0.0,True,2,Multi-homed,0.0,0.362863
24173,Branch of Netnam Company in Ho Chi Minh City,VN,NETNAM-AS-AP,1290.0,26.0,361.0,7.0,38.0,25.0,63.0,True,31,Transit,0.048504,0.456328
24174,Dong A Commercial Join Stock Bank,VN,DAB-AS-VN,60658.0,1.0,1.0,2.0,0.0,0.0,0.0,True,2,Multi-homed,2.9e-05,0.343164
24175,National Agency for Scientific and Technological Information,VN,VINAREN-AS-AP,22174.0,1.0,9.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.313533
24176,Branch of Netnam Company in Ho Chi Minh City,VN,NETNAMHCMC-AS-AP,15805.0,1.0,7.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.313533
24177,iNET software one member company limited,VN,INET-AS-AP,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
38244,VNG Corporation,VN,VINAGAME-AS-VN,3752.0,6.0,161.0,5.0,0.0,5.0,8.0,True,8,Transit,0.013343,0.412571
38245,VIETBRANDS COMPANY LIMITED,VN,VIETBRANDS-AS-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
38246,CDMA Mobile Phone Center S-Telecom,VN,SFONE-AS-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
38247,Vietnamobile Telecommunications Joint Stock Company,VN,VIETNAMOBILE-AS-VN,18020.0,1.0,35.0,2.0,0.0,0.0,0.0,True,2,Multi-homed,7.4e-05,0.340199
38248,VTC-VN,VN,VTC-AS-VN,16455.0,1.0,46.0,4.0,0.0,0.0,0.0,True,5,Transit,0.000937,0.436116
38249,KIS Viet Nam Securities Corporations,VN,KIS-AS-VN,36223.0,1.0,1.0,2.0,0.0,0.0,0.0,True,3,Transit,2.8e-05,0.355062
