asn,org_name,country,aut_name,rank,cone_asns,cone_prefixes,degree_provider,degree_peer,degree_customer,degree_transit,clique_member
7552,Viettel Group,VN,VIETEL-AS-AP,198,267,13025,6,247,112,359,True
7602,Sai gon Postel Corporation,VN,SPT-AS-VN,13090,1,95,9,0,0,0,True
7643,Vietnam Posts and Telecommunications (VNPT),VN,VNPT-AS-VN,15486,1,88,2,0,0,0,True
18403,FPT Telecom Company,VN,FPT-AS-AP,189,281,11252,13,167,237,383,True
23707,Internet Systems Consortium,US,ISC-HAN1,78608,1,0,0,0,0,0,False
23899,Vietnam Internet network information center (VNNIC),VN,VNIX-AS-VN,4228,5,113,1,2,4,7,True
23902,Vietnam Internet network information center (VNNIC),VN,VNNIC-AS-VN,10577,2,3,2,0,1,2,True
23914,,VN,AS23914,78608,1,0,0,0,0,0,False
23962,Vietnam Internet network information center (VNNIC),VN,VNIX-AS-VN,4449,5,34,2,4,2,7,True
23999,Vietnam News Agency,VN,VNA-AS-VN,45422,1,2,2,0,0,0,True
24035,Ministry of Foreign Affairs of Vietnam - MOFA,VN,MOFA-AS-VN,67211,1,1,1,0,0,0,True
24050,Internet Systems Consortium,US,ISC-SGN1,78608,1,0,0,0,0,0,False
24066,Vietnam Internet network information center (VNNIC),VN,VNNIC-AS-VN,7078,3,5,2,0,2,3,True
24085,Quang Trung Software City Development Company,VN,QTSC-AS-VN,14908,1,106,4,0,0,0,True
24086,Viettel Corporation,VN,VIETTEL-AS-VN,12500,1,300,1,1,0,2,True
24087,VIETBRANDS COMPANY LIMITED,VN,VIETBRANDS-VN,78608,1,0,0,0,0,0,False
24088,Hanoi Telecom Joint Stock Company - HCMC Branch,VN,HTCHCMC-AS-VN,1021,35,547,9,12,25,42,True
24089,Vietnam Internet Network Information Center,VN,VNNIC-AS-AP,36223,1,1,2,0,0,0,True
24173,Branch of Netnam Company in Ho Chi Minh City,VN,NETNAM-AS-AP,1290,26,361,7,38,25,63,True
24174,Dong A Commercial Join Stock Bank,VN,DAB-AS-VN,60658,1,1,2,0,0,0,True
24175,National Agency for Scientific and Technological Information,VN,VINAREN-AS-AP,22174,1,9,1,0,0,0,True
24176,Branch of Netnam Company in Ho Chi Minh City,VN,NETNAMHCMC-AS-AP,15805,1,7,1,0,0,0,True
24177,iNET software one member company limited,VN,INET-AS-AP,78608,1,0,0,0,0,0,False
38244,VNG Corporation,VN,VINAGAME-AS-VN,3752,6,161,5,0,5,8,True
38245,VIETBRANDS COMPANY LIMITED,VN,VIETBRANDS-AS-VN,78608,1,0,0,0,0,0,False
38246,CDMA Mobile Phone Center S-Telecom,VN,SFONE-AS-VN,78608,1,0,0,0,0,0,False
38247,Vietnamobile Telecommunications Joint Stock Company,VN,VIETNAMOBILE-AS-VN,18020,1,35,2,0,0,0,True
38248,VTC-VN,VN,VTC-AS-VN,16455,1,46,4,0,0,0,True
38249,KIS Viet Nam Securities Corporations,VN,KIS-AS-VN,36223,1,1,2,0,0,0,True
38250,VSERVER EQUIPMENT TECHNOLOGY COMPANY LIMITED,VN,VSERVER-AS-VN,78608,1,0,0,0,0,0,False
38251,VNDirect Securities Corporation,VN,VNDIRECT-AS-VN,60658,1,1,2,0,0,0,True
38252,,VN,AS38252,78608,1,0,0,0,0,0,False
38253,Hanoi Telecom JSC,VN,HANOITELECOM-AS-VN,23367,1,15,2,0,0,2,True
38725,iNET software one member company limited,VN,INETSOFT-AS-VN,78608,1,0,0,0,0,0,False
38726,VTC DIGICOM,VN,VTCDIGICOM-AS-VN,6070,3,106,3,1,2,3,True
38727,HaNoi University of science and technology,VN,HUT-AS-VN,39683,1,1,1,0,0,0,True
38728,,VN,AS38728,78608,1,0,0,0,0,0,False
38729,Kien Cuong International JSC,VN,KCC-AS-VN,78608,1,0,0,0,0,0,False
38730,VIETINBANK-VN,VN,VIETINBANK-AS-VN,35029,1,5,3,0,0,0,True
38731,Vietel - CHT Compamy Ltd,VN,VTDC-AS-VN,524,84,2145,2,2,78,80,True
38732,CMC Telecom Infrastructure Company,VN,CMCTELECOM-VN,1727,18,148,1,0,17,18,True
38733,CMC Telecom Infrastructure Company,VN,CMCTELECOM-VN,1664,19,161,1,0,18,19,True
