asn1,asn2
131410,45903
131362,45899
149154,45899
131125,18403
131128,7552
135925,18403
149078,18403
45543,56147
23902,7552
135919,24173
18403,63734
131126,18403
55309,7552
131390,131403
18403,45900
131418,38731
131402,45899
38731,45543
45903,7602
38731,63731
135969,18403
135918,154339
135947,45899
45903,56146
38738,7552
24088,63731
131390,56149
149135,18403
135905,152966
38731,63759
45903,63754
38244,45543
131439,7552
131412,56147
131368,7552
149147,38731
149080,45899
140747,7552
24088,38247
135945,18403
131342,18403
140811,38731
153535,18403
56159,7552
135947,63767
153016,38732
45903,56144
18403,63756
151914,18403
153713,18403
131130,45903
131415,7552
135980,45899
149157,7552
135905,45894
45546,45899
135918,7602
45899,63742
24085,45896
135905,151855
135952,38731
140813,38731
150866,45903
135951,135983
135908,18403
131344,45903
140813,153650
63741,7552
45899,45902
45903,63763
140813,18403
55318,7552
131345,18403
18403,55311
135918,18403
45899,63751
153500,38732
135990,38731
18403,45894
140750,24088
131373,24173
153413,18403
131372,24173
24066,7552
135990,18403
23999,45899
153585,18403
18403,55306
23902,45554
149130,38733
131392,45903
24173,45556
45543,7552
149069,7552
150895,151852
18403,55308
131353,38732
45553,7552
45544,7552
24173,24176
131366,18403
45903,63756
131376,24088
135926,38738
131130,45899
152974,18403
153004,7552
152947,18403
24088,45544
56141,7552
135953,140791
140770,18403
24173,45903
135947,38731
151923,45903
131402,18403
135905,149068
135905,140825
135904,7552
131408,18403
150866,24088
131405,7552
131386,38732
45896,45903
140825,18403
151908,38731
23962,24066
131123,45899
152935,18403
150842,18403
131409,131429
18403,56150
135905,149145
55319,7552
149156,45899
131429,56141
135932,38733
149120,45899
150859,18403
131436,7552
45903,55306
131421,149142
131429,151911
149118,18403
45899,7643
153401,18403
24088,45899
63742,7552
135905,150864
131391,18403
45899,63743
149137,38733
55308,7552
24174,45899
140831,38731
140759,7552
38730,7552
24066,45554
131425,38731
45901,45903
149123,18403
149107,150896
45903,55309
24089,7552
135987,38731
135905,135990
24173,45541
135905,135988
153430,18403
153831,18403
38731,38738
150888,7552
140764,18403
152992,7602
135933,45903
150846,38733
23899,45903
131353,38731
45896,45899
135956,45899
38251,45896
45543,63731
153022,38731
140810,18403
153003,38731
45899,45901
131436,24173
131421,131438
45899,55312
45899,56159
153017,38733
38734,7552
151870,18403
135905,56153
149159,24173
154406,7552
131345,55309
135942,38731
150895,150900
149124,18403
131383,131421
18403,55319
149109,18403
131414,38732
151858,38733
153941,45903
131386,38731
131375,18403
135942,18403
152953,18403
45903,63755
131367,38731
152968,7552
135964,18403
150866,38731
131386,18403
131435,38731
149065,18403
151938,18403
135905,63737
131131,45899
135922,18403
131389,7552
131418,63767
150866,18403
131435,18403
24088,38253
131124,18403
131435,135947
131383,45899
38731,56158
154247,18403
135938,7552
135927,7552
135901,38733
38726,7552
24088,7602
135955,7552
135917,38731
149116,7552
135905,151866
131429,153428
135905,149129
150837,45903
154106,38244
45899,45903
150882,38733
131392,38731
45903,56147
152959,18403
24088,63753
154105,38244
149146,38731
18403,63765
135961,38731
38736,7552
135971,24173
23899,45896
18403,63737
149160,7552
38249,45899
131422,38726
38731,63766
131364,7552
131429,18403
131429,7552
151866,18403
152989,18403
153013,45903
149128,45903
135973,45903
131421,24088
153941,45899
131127,63741
18403,45902
131421,55315
149107,153830
24173,38731
45538,7602
18403,63751
38732,63765
131363,7552
23962,7552
131421,38734
153407,18403
131363,18403
131415,45899
38248,38726
152994,45899
131418,135935
151923,18403
154350,38733
135900,7552
63731,7552
131343,24173
135919,38731
131387,45899
45903,55310
140745,45903
131391,55309
149107,152983
131347,18403
135919,18403
45557,45899
131386,131429
135925,7552
149107,150895
56155,63731
131434,24088
135978,24173
153501,18403
131126,7552
131430,45899
140768,7552
152980,18403
131414,18403
151855,38731
135909,24173
140781,45538
151873,38732
131398,45903
149087,24088
149143,18403
131418,18403
150854,45899
18403,45552
152993,18403
45896,55313
131418,135947
24173,45900
152947,56147
23899,38735
63760,7602
135943,38738
135974,18403
18403,24173
142294,18403
45903,7552
140807,18403
153013,24088
45903,63751
153741,7552
131357,45903
18403,23962
131351,45903
131429,149111
18403,23899
149098,38731
150836,7552
140830,38731
135905,150911
151872,18403
131409,7552
135959,38731
153650,24173
140806,7552
135924,45899
131405,45899
152976,18403
153391,18403
45899,63733
45902,7552
18403,45543
135944,24088
18403,38726
131373,18403
131439,24173
18403,63731
149113,38731
135957,7552
140828,38733
131436,45899
38732,38733
135943,7602
152994,38731
140799,18403
131438,18403
151901,18403
131438,7552
131429,135912
135929,7552
131369,24173
140748,7552
140765,45903
56156,7552
135911,45899
24173,56155
18403,55316
135932,38731
131358,56149
150856,38244
131129,45903
131362,18403
38244,45903
18403,45901
45903,55317
149154,7552
131429,55309
150837,38731
149082,18403
38735,7552
149142,18403
18403,56159
131350,45899
149137,38731
150884,38733
149099,45903
131418,135905
131127,18403
131127,7552
135905,152992
135947,7552
45899,55323
38731,63760
131418,135948
38731,55320
24088,63760
153450,45903
149107,152979
152944,45903
131358,18403
45903,63731
131423,150823
45899,63747
149080,18403
38731,63730
63743,7552
135988,45903
135929,24173
154339,18403
131423,18403
142025,45903
140823,18403
45899,63758
149100,45903
24088,63755
131413,45899
153410,38731
149120,38732
131413,24088
149107,149148
18403,45903
24085,7552
140745,38731
131385,18403
45903,55316
45546,7552
38737,45899
152934,18403
131129,45899
149101,18403
135905,56160
18403,45544
151858,38731
45903,56159
140809,45899
45899,56156
149089,18403
45903,55307
135944,38731
45899,55318
131383,45903
131343,45899
131128,45903
135937,38731
131122,45899
135905,45899
38726,45899
24086,38731
131379,45899
135963,18403
140739,45903
131348,45903
45903,56150
131411,45903
131353,18403
153591,38731
149151,18403
149102,18403
154003,38733
131439,45903
140762,24088
140802,24173
131376,18403
140758,45899
142025,45899
45899,56142
149127,7552
38249,55309
45896,56147
55312,7552
149100,45899
131421,45903
150855,38733
131130,18403
131351,18403
18403,45541
135944,38244
18403,45899
135923,45543
18403,24088
18403,55315
38731,56153
149131,18403
45899,56155
18403,38734
152949,18403
152994,45903
45899,63752
135900,45899
135967,149103
135948,45899
131429,131440
131344,18403
38733,45903
131124,7552
131123,7552
131429,135964
149125,18403
153032,18403
153499,18403
24173,55310
135943,55309
23902,45899
152940,45903
152955,18403
135991,45903
131430,45903
135997,18403
18403,63732
131407,45552
154053,24173
131126,45899
149156,7552
131348,45899
149120,18403
23899,38248
131127,55309
45896,56149
38731,7552
140765,18403
56149,63755
24088,7552
135905,135932
131357,56156
149096,24088
151868,45903
18403,63736
45543,45903
131368,45899
38738,45896
140825,153447
23899,56147
131425,135905
45899,63741
45899,55324
140814,38732
149149,18403
135910,18403
45553,45903
140766,150901
45544,45903
131353,38733
131127,24174
150857,45903
151863,38732
131343,18403
131375,23899
149157,45899
150836,45899
24173,7552
153683,38732
45899,63735
153403,18403
131428,38731
153539,18403
135915,38731
153429,18403
135905,63766
55306,7552
135956,7552
140762,38731
131418,131435
63747,7552
131371,18403
135988,38731
24173,45542
135994,38731
38253,45903
150830,18403
131360,45903
131386,38733
135952,45899
18403,38251
135952,24088
135949,45538
45899,63749
45541,7552
135905,45538
18403,38731
149062,18403
135958,38731
140787,38731
131421,149069
