asn1,asn2,num_sources,sources,via_vnix
7552,45896,1,sg.rib.20260123.1800.bz2,True
7552,45899,1,sg.rib.20260123.1800.bz2,True
7552,45903,1,sg.rib.20260123.1800.bz2,True
7552,131375,1,sg.rib.20260123.1800.bz2,True
7552,131423,1,sg.rib.20260123.1800.bz2,True
18403,24088,1,rv4.rib.20260102.0000.bz2,True
18403,38738,1,rv4.rib.20260102.0000.bz2,True
18403,45538,1,rv4.rib.20260102.0000.bz2,True
18403,45896,1,rv4.rib.20260102.0000.bz2,True
18403,45899,1,rv4.rib.20260102.0000.bz2,True
18403,45903,1,rv4.rib.20260102.0000.bz2,True
18403,56147,1,rv4.rib.20260102.0000.bz2,True
18403,131375,1,rv4.rib.20260102.0000.bz2,True
38248,45899,1,sg.rib.20260123.1800.bz2,True
38735,45899,1,sg.rib.20260123.1800.bz2,True
38738,45899,2,rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2,True
45896,56147,1,rv4.rib.20260102.0000.bz2,True
45899,45903,1,sg.rib.20260123.1800.bz2,True
45899,131357,1,sg.rib.20260123.1800.bz2,True
