asn1,asn2,vnix_asn,vnix_location,num_sources,sources
7552,45896,23899,VNIX-HN,1,sg.rib.20260123.1800.bz2
7552,45896,23962,VNIX-HCM,1,sg.rib.20260123.1800.bz2
7552,45899,23899,VNIX-HN,1,sg.rib.20260123.1800.bz2
7552,45899,23962,VNIX-HCM,1,sg.rib.20260123.1800.bz2
7552,45903,23962,VNIX-HCM,1,sg.rib.20260123.1800.bz2
7552,131375,23899,VNIX-HN,1,sg.rib.20260123.1800.bz2
7552,131423,23962,VNIX-HCM,1,sg.rib.20260123.1800.bz2
18403,24088,23899,VNIX-HN,1,rv4.rib.20260102.0000.bz2
18403,38738,23962,VNIX-HCM,1,rv4.rib.20260102.0000.bz2
18403,45538,23962,VNIX-HCM,1,rv4.rib.20260102.0000.bz2
18403,45896,23899,VNIX-HN,1,rv4.rib.20260102.0000.bz2
18403,45899,23899,VNIX-HN,1,rv4.rib.20260102.0000.bz2
18403,45903,23899,VNIX-HN,1,rv4.rib.20260102.0000.bz2
18403,45903,23962,VNIX-HCM,1,rv4.rib.20260102.0000.bz2
18403,56147,23899,VNIX-HN,1,rv4.rib.20260102.0000.bz2
18403,131375,23899,VNIX-HN,1,rv4.rib.20260102.0000.bz2
38248,45899,23899,VNIX-HN,1,sg.rib.20260123.1800.bz2
38735,45899,23899,VNIX-HN,1,sg.rib.20260123.1800.bz2
38738,45899,23962,VNIX-HCM,2,rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2
45896,56147,23899,VNIX-HN,1,rv4.rib.20260102.0000.bz2
45899,45903,23899,VNIX-HN,1,sg.rib.20260123.1800.bz2
45899,131357,56156,VNIX-DN,1,sg.rib.20260123.1800.bz2
