ix_id,ixlan_id,net_id,asn,ipaddr4,ipaddr6,is_rs_peer,operational
1771,1771,18772,23962,218.100.14.1,2001:de8:a::1,True,True
1771,1771,18772,23962,218.100.14.254,2001:de8:a::254,True,True
1771,1771,12457,24050,218.100.14.110,2001:de8:a::110,True,True
1771,1771,2529,18403,218.100.14.7,2001:de8:a::7,True,True
1771,1771,3527,45903,218.100.14.32,2001:de8:a::32,True,True
1772,1772,18734,23899,218.100.10.1,2001:7fa:6::1,True,True
1772,1772,18734,23899,218.100.10.254,2001:7fa:6::254,True,True
1772,1772,12701,23707,218.100.10.110,2001:7fa:6::110,True,True
1772,1772,1486,25152,218.100.10.113,2001:7fa:6::113,True,True
1772,1772,825,7500,218.100.10.112,2001:7fa:6::112,True,True
1772,1772,2529,18403,218.100.10.7,2001:7fa:6::7,True,True
1772,1772,3527,45903,218.100.10.32,2001:7fa:6::32,True,True
1773,1773,18773,56156,218.100.60.1,2001:de8:3::1,True,True
1773,1773,18773,56156,218.100.60.254,2001:de8:3::254,True,True
1773,1773,26511,131415,218.100.60.3,2001:de8:3::2000,True,True
1773,1773,28338,148967,218.100.60.110,2001:de8:3::110,True,True
1773,1773,3527,45903,218.100.60.32,2001:de8:3::32,True,True
