Id,Label,0,1,2,3,4,5,6,7
AS7552,AS7552,VN_ASN,30.672,7552,Viettel Group,"AS7552
Viettel Group","#E74C3C",transit,
AS7602,AS7602,VN_ASN,10.08,7602,Sai gon Postel Corporation,"AS7602
Sai gon Postel Corporation","#8E44AD",transit,
AS7643,AS7643,VN_ASN,8.416,7643,Vietnam Posts and Telecommunications (VNPT),"AS7643
Vietnam Posts and Telecommunications (VNPT)","#8E44AD",transit,
AS18403,AS18403,VN_ASN,60,18403,FPT Telecom Company,"AS18403
FPT Telecom Company","#E74C3C",transit,
AS23707,AS23707,VN_ASN,8.208,23707,Internet Systems Consortium,"AS23707
Internet Systems Consortium","#BDC3C7",stub,
AS23899,AS23899,VN_ASN,8.208,23899,Vietnam Internet network information center (VNNIC),"AS23899
Vietnam Internet network information center (VNNIC)","#BDC3C7",stub,
AS23902,AS23902,VN_ASN,8.624,23902,Vietnam Internet network information center (VNNIC),"AS23902
Vietnam Internet network information center (VNNIC)","#8E44AD",transit,
AS23962,AS23962,VN_ASN,8.208,23962,Vietnam Internet network information center (VNNIC),"AS23962
Vietnam Internet network information center (VNNIC)","#BDC3C7",stub,
AS23999,AS23999,VN_ASN,8.416,23999,Vietnam News Agency,"AS23999
Vietnam News Agency","#8E44AD",transit,
AS24035,AS24035,VN_ASN,8.208,24035,Ministry of Foreign Affairs of Vietnam - MOFA,"AS24035
Ministry of Foreign Affairs of Vietnam - MOFA","#BDC3C7",stub,
AS24050,AS24050,VN_ASN,8.208,24050,Internet Systems Consortium,"AS24050
Internet Systems Consortium","#BDC3C7",stub,
AS24066,AS24066,VN_ASN,8.624,24066,Vietnam Internet network information center (VNNIC),"AS24066
Vietnam Internet network information center (VNNIC)","#8E44AD",transit,
AS24085,AS24085,VN_ASN,8.832,24085,Quang Trung Software City Development Company,"AS24085
Quang Trung Software City Development Company","#8E44AD",transit,
AS24086,AS24086,VN_ASN,8.416,24086,Viettel Corporation,"AS24086
Viettel Corporation","#8E44AD",transit,
AS24088,AS24088,VN_ASN,14.656,24088,Hanoi Telecom Joint Stock Company - HCMC Branch,"AS24088
Hanoi Telecom Joint Stock Company - HCMC Branch","#E74C3C",transit,
AS24089,AS24089,VN_ASN,8.416,24089,Vietnam Internet Network Information Center,"AS24089
Vietnam Internet Network Information Center","#8E44AD",transit,
AS24173,AS24173,VN_ASN,14.656,24173,Branch of Netnam Company in Ho Chi Minh City,"AS24173
Branch of Netnam Company in Ho Chi Minh City","#E74C3C",transit,
